System,Dataset,Training data fraction,Number of repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.03,0.05,0.06
batlik,cranium.csv,0.7,30,0.02,0.04,0.05
batlik,cubus.csv,0.7,30,0.02,0.12,0.15
batlik,flame.csv,0.7,30,0.02,0.04,0.05
batlik,france.csv,0.7,30,0.02,0.08,0.10
batlik,frisco.csv,0.7,30,0.03,0.15,0.19
batlik,jelly.csv,0.7,30,0.02,0.04,0.07
batlik,karte.csv,0.7,30,0.02,0.24,0.33
batlik,mandelbrot.csv,0.7,30,0.02,0.03,0.04
batlik,strawberry.csv,0.7,30,0.02,0.04,0.05
batlik,village.csv,0.7,30,0.02,0.10,0.29
dconvert,jpeg-large.csv,0.7,30,0.03,0.09,0.13
dconvert,jpeg-medium.csv,0.7,30,0.02,0.04,0.05
dconvert,jpeg-small.csv,0.7,30,0.03,0.01,0.02
dconvert,png-large.csv,0.7,30,0.03,0.06,0.08
dconvert,png-medium.csv,0.7,30,0.03,0.02,0.02
dconvert,png-small.csv,0.7,30,0.04,0.02,0.02
dconvert,psd-large.csv,0.7,30,0.02,0.59,1.00
dconvert,psd-medium.csv,0.7,30,0.03,0.03,0.04
dconvert,psd-small.csv,0.7,30,0.04,0.02,0.03
dconvert,svg-large.csv,0.7,30,0.02,0.04,0.05
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-small.csv,0.7,30,0.03,0.01,0.02
h2,smallbank-1.csv,0.7,30,0.04,725.16,943.51
h2,smallbank-10.csv,0.7,30,0.02,292.05,401.55
h2,tpcc-2.csv,0.7,30,0.03,20.67,25.95
h2,tpcc-8.csv,0.7,30,0.20,107.40,173.10
h2,voter-16.csv,0.7,30,0.02,562.05,757.14
h2,voter-2.csv,0.7,30,0.02,546.74,760.89
h2,ycsb-2400.csv,0.7,30,0.04,571.58,723.91
h2,ycsb-600.csv,0.7,30,0.04,726.09,959.63
jump3r,beethoven.wav.csv,0.7,30,0.16,1.62,2.40
jump3r,dual-channel.wav.csv,0.7,30,0.16,0.45,0.67
jump3r,helix.wav.csv,0.7,30,0.16,0.84,1.31
jump3r,single-channel.wav.csv,0.7,30,0.14,0.26,0.37
jump3r,speech.wav.csv,0.7,30,0.14,0.62,0.88
jump3r,sweep.wav.csv,0.7,30,0.09,0.06,0.08
kanzi,ambivert.csv,0.7,30,0.06,1.02,2.32
kanzi,artificl.csv,0.7,30,0.04,0.02,0.05
kanzi,deepfield.csv,0.7,30,0.05,0.80,2.31
kanzi,enwik8.csv,0.7,30,0.06,1.65,4.41
kanzi,fannie_mae_500k.csv,0.7,30,0.07,1.09,3.39
kanzi,large.csv,0.7,30,0.05,0.19,0.46
kanzi,misc.csv,0.7,30,0.05,0.04,0.07
kanzi,silesia.csv,0.7,30,0.06,3.12,8.11
kanzi,vmlinux.csv,0.7,30,0.06,6.43,21.43
lrzip,ambivert.wav.tar.csv,0.7,30,2.15,16.74,25.02
lrzip,artificl.tar.csv,0.7,30,12.41,1.16,1.37
lrzip,deepfield.tar.csv,0.7,30,2.12,16.30,24.21
lrzip,enwik8.tar.csv,0.7,30,1.43,21.46,29.86
lrzip,fannie_mae_500k.tar.csv,0.7,30,0.14,5.88,8.13
lrzip,large.tar.csv,0.7,30,1.10,2.43,3.17
lrzip,misc.tar.csv,0.7,30,2.51,1.18,1.41
lrzip,silesia.tar.csv,0.7,30,1.67,36.23,50.51
lrzip,uiq-32.bin.csv,0.7,30,2.76,60.25,82.97
lrzip,uiq2-16.bin.csv,0.7,30,2.49,33.43,46.85
lrzip,uiq2-4.bin.csv,0.7,30,1.61,8.09,11.65
lrzip,uiq2-8.bin.csv,0.7,30,1.95,16.53,23.41
lrzip,vmlinux-5.10.tar.csv,0.7,30,0.98,5.22,7.36
x264,blue_sky_1080p25_short.y4m.csv,0.7,30,0.12,1.20,2.72
x264,Johnny_1280x720_60_short.y4m.csv,0.7,30,0.13,0.96,2.26
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,30,0.12,3.32,7.47
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,30,0.12,1.41,3.16
x264,riverbed_1080p25_short.y4m.csv,0.7,30,0.13,2.72,6.09
x264,sd_bridge_close_cif_short.y4m.csv,0.7,30,0.09,0.05,0.11
x264,sd_city_4cif_short.y4m.csv,0.7,30,0.13,0.55,1.27
x264,sd_crew_cif_short.y4m.csv,0.7,30,0.11,0.09,0.21
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,30,0.10,0.15,0.33
xz,ambivert.wav.tar.csv,0.7,30,0.02,0.59,1.46
xz,artificl.tar.csv,0.7,30,0.30,0.01,0.01
xz,deepfield.tar.csv,0.7,30,0.03,0.39,0.73
xz,enwik8.tar.csv,0.7,30,0.08,9.77,33.55
xz,fannie_mae_500k.tar.csv,0.7,30,0.02,1.00,1.79
xz,large.tar.csv,0.7,30,0.02,0.11,0.16
xz,misc.tar.csv,0.7,30,0.05,0.02,0.05
xz,silesia.tar.csv,0.7,30,0.02,2.60,5.46
xz,uiq-32.bin.csv,0.7,30,0.06,10.63,30.53
xz,uiq2-16.bin.csv,0.7,30,0.07,5.30,16.58
xz,uiq2-4.bin.csv,0.7,30,0.02,0.26,0.50
xz,uiq2-8.bin.csv,0.7,30,0.06,2.15,6.56
xz,vmlinux-5.10.tar.csv,0.7,30,0.02,0.16,0.25
z3,AUFNIRA_z3.637557.smt2.csv,0.7,30,0.00,0.29,0.56
z3,LRA_formula_277.smt2.csv,0.7,30,0.00,0.01,0.02
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.7,30,0.05,0.40,1.11
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7,30,0.00,0.04,0.05
z3,QF_BV_bench_3176.smt2.csv,0.7,30,0.01,1.41,3.46
z3,QF_BV_bench_935.smt2.csv,0.7,30,0.01,1.00,2.34
z3,QF_LIA_tightrhombus.csv,0.7,30,0.01,0.01,0.02
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.7,30,0.00,0.02,0.03
z3,QF_NRA_hong_9.smt2.csv,0.7,30,0.00,0.01,0.02
z3,QF_RDL_orb08_888.smt2.csv,0.7,30,0.00,0.04,0.05
z3,QF_UFLIA_xs_23_43.smt2.csv,0.7,30,0.01,0.17,0.36
z3,QF_UF_PEQ018_size6.smt2.csv,0.7,30,0.01,0.35,0.64
